episode,style,mode,winner,red_score,blue_score,red_health,blue_health,red_falls,blue_falls,steps,unsafe_rejections,unsafe_rate,avg_risk,red_action_entropy,red_attack_rate,red_guard_rate
1923187,pressure,scripted_baseline,0,93.21151270160999,82.52826788654397,19.12173211345602,18.188487298390015,0,1,180,0,0.0,0.0,2.8246274791555335,0.1388888888888889,0.2777777777777778
1164591,pressure,scripted_baseline,0,110.43497404242771,77.1387058863401,27.26129411365986,14.415025957572269,0,3,180,0,0.0,0.0,3.0407099057267186,0.15,0.2222222222222222
7752923,pressure,scripted_baseline,1,66.06836764673567,76.962567834355,34.98743216564496,37.23163235326433,1,0,180,0,0.0,0.0,3.015412600488931,0.13333333333333333,0.2
8441535,pressure,scripted_baseline,0,83.5525420931404,32.93289087896595,70.91710912103404,22.497457906859577,0,0,180,0,0.0,0.0,2.9336896029718624,0.16666666666666666,0.2388888888888889
6587311,pressure,scripted_baseline,1,59.04191496428843,108.26142706897014,4.788572931029835,44.25808503571155,1,0,180,0,0.0,0.0,2.9266740601747117,0.12777777777777777,0.2
7986734,pressure,scripted_baseline,-1,75.11081331859164,75.9447228851101,27.355277114889912,27.089186681408364,0,0,180,0,0.0,0.0,2.87897023339823,0.13333333333333333,0.3055555555555556
7624064,pressure,scripted_baseline,1,59.58755245477344,97.54859856637997,12.201401433620038,44.26244754522655,1,0,180,0,0.0,0.0,2.8460872202762166,0.12222222222222222,0.2111111111111111
173967,pressure,scripted_baseline,1,74.3691387486598,93.45021398917909,24.949786010820883,30.03086125134019,2,0,180,0,0.0,0.0,2.868984154559321,0.13333333333333333,0.22777777777777777
4907454,pressure,scripted_baseline,0,84.33048031285291,40.66006324424921,61.53993675575082,21.71951968714706,0,0,180,0,0.0,0.0,2.959036879329228,0.15,0.2611111111111111
769468,pressure,scripted_baseline,1,70.26495703043362,106.10410207858284,5.295897921417128,31.38504296956638,1,0,180,0,0.0,0.0,2.9021139257921744,0.12777777777777777,0.24444444444444444
968889,counter,scripted_baseline,-1,0.0,0.0,100.0,100.0,0,0,180,0,0.0,0.0,2.234509793344917,0.1,0.4388888888888889
4964563,counter,scripted_baseline,0,71.38279742190346,56.42956169758537,47.970438302414635,36.31720257809653,0,0,180,0,0.0,0.0,2.6245604732437116,0.12777777777777777,0.4166666666666667
5150693,counter,scripted_baseline,0,108.20248905155344,48.785755348170184,56.71424465182979,-0.5024890515535079,0,0,164,0,0.0,0.0,2.5169565909014224,0.14634146341463414,0.4573170731707317
8270988,counter,scripted_baseline,0,84.2039484705478,60.89784146508463,51.05215853491536,20.74605152945219,1,0,180,0,0.0,0.0,2.8476911156088454,0.12222222222222222,0.3888888888888889
5216121,counter,scripted_baseline,-1,0.0,0.0,100.0,100.0,0,0,180,0,0.0,0.0,2.221204643794633,0.13333333333333333,0.4444444444444444
2618989,counter,scripted_baseline,-1,0.0,0.0,100.0,100.0,0,0,180,0,0.0,0.0,2.3329074679350983,0.07777777777777778,0.3888888888888889
9903532,counter,scripted_baseline,-1,0.0,0.0,100.0,100.0,0,0,180,0,0.0,0.0,2.3742414235017373,0.12222222222222222,0.37222222222222223
3128931,counter,scripted_baseline,0,80.28094935966891,46.0619963017428,59.98800369825722,32.919050640331044,0,0,180,0,0.0,0.0,2.6022903706146643,0.14444444444444443,0.4388888888888889
7120976,counter,scripted_baseline,0,69.2735627320353,32.50408833873384,71.89591166126613,37.87643726796469,0,0,180,0,0.0,0.0,2.5282768035838212,0.15,0.4388888888888889
7224067,counter,scripted_baseline,0,78.21198915660287,47.95719369944481,56.99280630055521,27.838010843397107,0,0,180,0,0.0,0.0,2.5892856452078252,0.14444444444444443,0.40555555555555556
1253753,evasive,scripted_baseline,1,9.6069053150595,30.158411256408996,72.04158874359102,92.04309468494051,0,0,180,0,0.0,0.0,3.0221742800549243,0.10555555555555556,0.17777777777777778
494272,evasive,scripted_baseline,-1,0.0,0.0,100.0,100.0,0,0,180,0,0.0,0.0,2.9119039655886656,0.08888888888888889,0.16666666666666666
914275,evasive,scripted_baseline,1,25.33633983494604,92.65105350454412,17.64894649545584,75.21366016505395,1,0,180,0,0.0,0.0,3.2417182322439215,0.08888888888888889,0.15555555555555556
8219724,evasive,scripted_baseline,1,28.96634649216081,94.36841349260474,16.481586507395217,71.03365350783919,1,0,180,0,0.0,0.0,3.2274050618206074,0.1,0.1111111111111111
9912787,evasive,scripted_baseline,1,0.0,3.20766506948259,96.79233493051741,100.0,0,0,180,0,0.0,0.0,3.0035751128431043,0.12222222222222222,0.18888888888888888
9664973,evasive,scripted_baseline,0,6.084034473394054,3.4234677955470607,96.57653220445292,95.56596552660595,0,0,180,0,0.0,0.0,3.0728058681771686,0.12222222222222222,0.18333333333333332
7915319,evasive,scripted_baseline,1,27.111336312568557,99.45158182224927,10.298418177750694,73.43866368743144,1,0,180,0,0.0,0.0,3.1955146982398066,0.09444444444444444,0.12777777777777777
7941025,evasive,scripted_baseline,1,48.25284261700069,55.730606569168565,49.76939343083145,55.047157382999295,0,0,180,0,0.0,0.0,3.112289312364335,0.13333333333333333,0.14444444444444443
2290798,evasive,scripted_baseline,1,42.1041766414661,71.36234690577406,35.787653094225924,61.74582335853391,0,0,180,0,0.0,0.0,3.13659751596333,0.12777777777777777,0.13333333333333333
9844932,evasive,scripted_baseline,1,29.802897095946054,116.16540739712862,13.484592602871372,71.29710290405394,4,0,180,0,0.0,0.0,3.1764543599111144,0.1,0.10555555555555556
9540302,bully,scripted_baseline,0,104.67376611327195,22.224175618093465,78.32582438190653,-1.373766113271981,0,0,174,0,0.0,0.0,2.6212829493306864,0.15517241379310345,0.2413793103448276
5093929,bully,scripted_baseline,1,42.05040619764538,79.10373437776708,27.496265622232915,63.44959380235461,0,0,180,0,0.0,0.0,2.567659544960265,0.15,0.2833333333333333
3973121,bully,scripted_baseline,0,106.55897323150319,29.434274948150435,72.21572505184956,9.64102676849682,0,2,180,0,0.0,0.0,2.644650059401722,0.16111111111111112,0.22777777777777777
1882911,bully,scripted_baseline,1,41.65458378554857,89.1498768435342,15.800123156465808,62.74541621445144,0,0,180,0,0.0,0.0,2.4659581690029873,0.14444444444444443,0.26666666666666666
7939298,bully,scripted_baseline,0,119.43339041357765,24.7040942462231,75.29590575377689,2.1166095864223684,0,3,180,0,0.0,0.0,2.6226590786717736,0.16111111111111112,0.24444444444444444
8111810,bully,scripted_baseline,1,81.94240485392949,86.78290245310995,14.86709754689003,20.257595146070507,0,0,180,0,0.0,0.0,2.5146927461578783,0.14444444444444443,0.2
8086023,bully,scripted_baseline,1,65.19517985375956,76.27322323271333,25.92677676728666,35.90482014624044,0,0,180,0,0.0,0.0,2.642853077038475,0.14444444444444443,0.18888888888888888
9830455,bully,scripted_baseline,1,72.18033979802213,79.22603708591328,24.623962914086704,28.919660201977862,0,0,180,0,0.0,0.0,2.58180454819522,0.1388888888888889,0.2722222222222222
6185977,bully,scripted_baseline,1,50.99272151618241,66.14081757887156,39.359182421128395,55.05727848381757,0,0,180,0,0.0,0.0,2.5376293161103636,0.14444444444444443,0.26666666666666666
7648200,bully,scripted_baseline,0,113.20382191314643,30.151154941401792,71.4988450585982,1.346178086853537,0,2,180,0,0.0,0.0,2.5491190667548844,0.14444444444444443,0.19444444444444445
